gameid,gamename,nratings,gamerank
3633,Sid Meier's Civilization: The Boardgame,2426,11785
125,Money!,2424,1324
90305,Cargo Noir,2424,1453
180511,Shakespeare,2421,417
943,Ligretto,2419,2206
619,The Bottle Imp,2417,1057
145639,Coconuts,2403,718
105037,Tournay,2400,712
228,Lunch Money,2396,8961
142992,Gravwell: Escape from the 9th Dimension,2391,786
46255,Campaign Manager 2008,2381,1140
117985,Star Trek: Catan,2373,760
168679,Flip City,2367,1540
154386,Medieval Academy,2366,730
182631,Star Realms: Colony Wars,2366,191
12761,Ys,2364,836
199561,Sagrada,2360,389
1295,Pente,2359,1337
859,Illuminati,2357,2272
209778,Magic Maze,2357,503
16991,Khet: The Laser Game,2356,1389
65611,Cthulhu Dice,2354,14231
130176,Tales & Games: The Hare & the Tortoise,2351,635
170042,Raiders of the North Sea,2350,265
66587,GOSU,2346,1321
13884,The Scepter of Zavandor,2344,778
42910,Peloponnes,2344,614
120217,City of Horror,2344,1120
472,DungeonQuest,2340,1203
50768,Ninjato,2335,576
108906,Thunder Alley,2327,499
41933,Arctic Scavengers,2324,864
5206,Ogre,2321,916
5576,Dungeoneer: Tomb of the Lich Lord,2316,2461
183880,Risk: Star Wars Edition,2312,655
354,Sticheln,2311,763
123123,BattleCON: Devastation of Indines,2311,166
128667,Samurai Sword,2300,1195
65907,Mystery Express,2297,1343
1515,Upwords,2295,5706
1410,Trouble,2293,14337
128442,Relic,2290,1011
2507,Liberté,2289,643
162,The Awful Green Things From Outer Space,2288,1550
146791,Shadows of Brimstone: City of the Ancients,2288,255
2165,Pokémon Trading Card Game,2287,2437
594,Sleuth,2285,904
7479,WarCraft: The Board Game,2282,2512
3243,Wooly Bully,2281,2442
34194,Aquaretto,2281,787
2569,Pick Picknic,2280,1360
155873,Power Grid Deluxe: Europe/North America,2280,143
520,Axis & Allies: Europe,2275,1632
36553,Time's Up! Title Recall!,2275,266
14808,Marvel Heroes,2270,1698
86955,Munchkin Zombies,2267,2029
13122,Antiquity,2264,229
1502,Hotel Tycoon,2262,14069
111124,Dark Moon,2261,707
205359,Star Wars: Destiny,2260,248
82421,Summoner Wars: Phoenix Elves vs Tundra Orcs,2258,393
21791,Masons,2257,1368
15318,Palazzo,2256,1345
37198,Risk (Revised Edition),2254,2910
23094,Planet Steam,2251,602
31999,TZAAR,2251,321
27356,Portobello Market,2250,1605
908,Tally Ho!,2246,2386
92319,Olympos,2245,810
203993,Lorenzo il Magnifico,2245,259
175199,Mottainai,2244,727
92190,Super Dungeon Explore,2241,972
12891,Friedrich,2237,423
31016,We Didn't Playtest This At All,2233,8074
23686,GiftTRAP,2231,1612
3570,Chicken Cha Cha Cha,2229,1304
265,Intrigue,2228,1716
192458,51st State: Master Set,2217,257
72991,Asara,2216,747
66,Löwenherz,2215,737
715,Escape from Colditz,2213,1379
16933,Super Munchkin,2212,3741
35503,Ra: The Dice Game,2209,1067
33451,The Red Dragon Inn 2,2207,986
180263,The 7th Continent,2207,56
29223,Marrakech,2204,1159
168917,Smash Up: Pretty Pretty Smash Up,2202,521
176734,The Manhattan Project: Energy Empire,2202,214
157789,Pandemic: Contagion,2199,1493
27848,Age of Conan: The Strategy Board Game,2198,1241
159109,XenoShyft: Onslaught,2192,732
70,Big City,2191,921
9028,Tongiaki: Journey into the Unknown,2185,2061
17835,Monsters Menace America,2182,3054
99,Fortress America,2181,1245
55690,Kingdom Death: Monster,2180,156
24773,On the Underground,2179,898
206718,Ethnos,2177,372
125548,Pixel Tactics,2176,768
181530,Runebound (Third Edition),2172,450
151022,Baseball Highlights: 2045,2171,356
153064,Good Cop Bad Cop,2167,1090
39684,Merkator,2163,764
104020,Vanuatu,2163,586
1568,Space Crusade,2161,1015
4174,Lifeboat,2160,1746
38862,Giants,2159,818
156776,"Warhammer 40,000: Conquest",2158,558
128,Take it Easy!,2150,1327
72321,The Networks,2150,567
181810,Kodama: The Tree Spirits,2150,911
91523,Mondo,2146,1348
91873,Strasbourg,2145,651
1301,Netrunner,2143,518
160018,Smash Up: Monster Smash,2136,532
15510,Tower of Babel,2134,1209
194594,Dice Forge,2131,537
17449,Beowulf: The Legend,2130,1708
10383,Risk: Godstorm,2128,2198
16366,Funny Friends,2128,1535
20545,Rory's Story Cubes,2127,1775
147303,Carcassonne: South Seas,2122,706
158339,Lost Legacy: The Starship,2121,1165
18723,"Aye, Dark Overlord! The Red Box",2120,3404
41010,My First Carcassonne,2120,1136
4394,The Settlers of the Stone Age,2119,1361
3439,HeroClix,2118,1681
68182,Isla Dorada,2118,1130
85325,Kolejka,2112,1143
204,Stephenson's Rocket,2109,962
232,Serenissima (first edition),2109,1023
170416,Vast: The Crystal Caverns,2106,514
6068,Queen's Necklace,2104,1595
8190,The Bridges of Shangri-La,2099,1111
3228,Pueblo,2091,964
193558,The Oracle of Delphi,2090,509
82420,Summoner Wars: Guild Dwarves vs Cave Goblins,2089,400
84419,Space Empires: 4X,2085,432
176558,Mafia de Cuba,2079,1204
182134,Evolution: Climate,2078,268
203427,Fabled Fruit,2078,678
98229,Pictomania,2075,552
632,Cloud 9,2074,1569
9027,Oasis,2074,1147
128780,Pax Porfiriana,2073,350
25951,The Castle of the Devil,2070,1588
2582,Catch Phrase!,2064,1941
3837,Rat-a-Tat Cat,2064,2329
191231,Via Nebula,2062,680
55697,Power Struggle,2061,794
145189,Timeline: Music & Cinema,2061,1072
214,Café International,2059,1949
17396,Manoeuvre,2059,592
4218,O Zoo le Mio,2057,1287
122159,Cthulhu Fluxx,2052,2672
141736,Sail to India,2052,1045
1634,Warhammer Quest,2049,611
949,Twixt,2047,1439
180852,Tiny Epic Western,2047,997
2162,"Warhammer 40,000",2046,1874
206941,First Class,2045,390
2679,Mouse Trap,2044,14333
116954,Indigo,2043,1006
54137,Battle Sheep,2042,1173
27976,Heroscape Master Set: Swarm of the Marro,2040,444
160495,ZhanGuo,2038,383
337,Circus Flohcati,2035,1300
160010,Conan,2034,365
1260,Rook,2030,1835
1270,Star Wars Customizable Card Game,2029,1458
90040,Pergamon,2029,900
60435,Rallyman,2024,672
194880,Dream Home,2018,901
6607,Munchkin Fu,2017,3731
917,Rack-O,2011,7089
4471,Fist of Dragonstones,2002,2269
28089,Château Roquefort,2000,1009
151347,Millennium Blades,1996,280
9823,Advanced Squad Leader: Starter Kit #1,1994,366
82168,Escape from the Aliens in Outer Space,1993,967
40354,Maria,1991,231
38996,Washington's War,1989,385
2122,Vampire: The Eternal Struggle,1987,908
34707,The Hanging Gardens,1982,1104
437,Master Labyrinth,1977,1986
154458,Akrotiri,1976,570
3800,Himalaya,1972,825
26,Age of Renaissance,1969,823
168609,"Artifacts, Inc.",1965,953
29937,König von Siam,1963,928
4529,Hellas,1958,2125
8170,Return of the Heroes,1954,1559
176,Give Me the Brain!,1952,3971
16216,Carcassonne: The Discovery,1952,1537
19370,Quelf,1944,14162
122,Quo Vadis?,1941,1619
156689,Legendary: Villains – A Marvel Deck Building Game,1937,412
40237,Long Shot,1930,1201
6795,Battleball,1927,2047
37400,Sushizock im Gockelwok,1924,1586
34615,New World: A Carcassonne Game,1923,1636
174785,Mare Nostrum: Empires,1922,403
73538,Pirate Fluxx,1921,2375
3085,Gang of Four,1919,1434
169426,Roll Player,1917,453
586,Up Front,1914,330
120523,Nothing Personal,1911,709
2795,Car Wars,1908,1950
939,Star Wars: The Queen's Gambit,1906,491
118174,Compounded,1906,1052
38992,Royal Palace,1905,981
8129,Sluff Off!,1901,987
1475,Careers,1900,4801
4249,Trias,1900,1566
37371,Piece o' Cake,1900,1378
7806,King Me!,1899,1816
442,Um Reifenbreite,1897,1048
62222,Commands & Colors: Napoleonics,1887,267
1275,221B Baker Street: The Master Detective Game,1886,3531
37919,Ascending Empires,1883,713
1797,Pay Day,1879,14306
114031,Copycat,1872,1092
139898,Brew Crafters,1871,431
158600,Hanamikoji,1865,472
1608,Ambush!,1863,631
30658,Rise of Empires,1859,785
8045,Princes of the Renaissance,1857,538
15290,R-Eco,1857,1310
107255,Evo (second edition),1855,918
165950,Beasty Bar,1850,1065
113289,Snake Oil,1848,1138
179275,One Deck Dungeon,1847,615
200077,Mint Works,1847,642
35761,Sylla,1845,1129
103185,Walnut Grove,1844,880
111341,The Great Zimbabwe,1841,363
94246,1812: The Invasion of Canada,1840,579
199478,Flamme Rouge,1837,513
155708,Tiny Epic Defenders,1832,1780
162286,Super Motherload,1829,482
22198,Great Wall of China,1828,2091
213893,Yamataï,1826,653
32341,Cockroach Salad,1816,2351
938,Enchanted Forest,1814,5003
6901,Euchre,1811,1198
62220,Urban Sprawl,1811,1141
67239,Catan Histories: Settlers of America – Trails to Rails,1811,1069
179303,Cthulhu Realms,1810,1074
7688,Memory,1808,14303
207336,Honshu,1808,779
32441,Bezzerwizzer,1807,1871
156943,Saint Petersburg (second edition),1806,461
91620,Pastiche,1803,1042
157096,Historia,1802,913
23142,Mag·Blast (Third Edition),1800,2709
40990,Word on the Street,1797,1403
28620,Phoenicia,1796,1433
2944,Halli Galli,1795,4231
189932,Tyrants of the Underdark,1795,319
178336,World's Fair 1893,1791,641
8924,Dancing Eggs,1789,1604
56931,Arena: Roma II,1788,970
700,Battle Masters,1786,2622
2025,Frag,1785,5630
67928,Puzzle Strike,1785,1256
37387,Steel Driver,1781,888
1262,Axis & Allies: Pacific,1778,1518
108044,Nefarious,1776,1739
21954,Perikles,1775,969
6830,Zendo,1774,705
1334,Entdecker: Exploring New Horizons,1772,1490
36522,2 de Mayo,1772,950
32412,Palastgeflüster,1771,1169
75358,Paris Connection,1770,1137
111417,The Great Heartland Hauling Co.,1769,939
5406,New England,1762,1578
7866,10 Days in the USA,1760,1685
172047,The Others,1760,565
592,Spades,1758,1235
7865,10 Days in Africa,1756,1524
22484,Ingenious: Travel Edition,1756,791
31624,League of Six,1756,1098
14254,PitchCar Mini,1755,947
8095,Prophecy,1753,1330
167698,Magic: The Gathering – Arena of the Planeswalkers,1752,1500
21654,Iliad,1751,1534
34599,Toledo,1750,1989
40769,Valdora,1748,1110
156714,Doomtown: Reloaded,1748,758
151007,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,1746,591
181687,The Pursuit of Happiness,1744,679
22,Magic Realm,1741,878
35435,Nefertiti,1739,932
72,Verräter,1736,1229
701,A House Divided,1735,879
91534,Struggle for Catan,1735,2249
635,Formula Motor Racing,1733,1828
152,Mü & More,1731,762
29294,World of Warcraft: The Adventure Game,1731,2570
35052,Axis & Allies Anniversary Edition,1728,745
17053,Sleeping Queens,1724,1895
38531,Powerboats,1724,1215
6752,Attack!,1723,4233
171011,Favor of the Pharaoh,1721,1061
237,Wooden Ships & Iron Men,1718,1010
103092,Helvetia,1718,893
192836,The Colonists,1717,338
85005,The Boss,1714,1056
903,Hamsterrolle,1713,1101
29073,Blockers!,1710,1282
67185,Sobek,1708,1249
9910,Wings of War: Watch Your Back!,1707,1002
10081,Axis & Allies: D-Day,1707,1991
219513,Bärenpark,1706,587
144270,Relic Runners,1701,1332
12589,Razzia!,1698,1125
5895,Hungry Hungry Hippos,1697,14329
19643,World of Warcraft Trading Card Game,1697,1498
102237,Drako,1696,1317
8124,Industria,1694,1648
134253,Hostage Negotiator,1694,808
24703,Heroscape Marvel: The Conflict Begins,1689,1029
75449,Firenze,1689,693
2570,Atlantic Star,1683,1068
174973,Boss Monster 2: The Next Level,1677,1286
9441,Ribbit,1675,1273
183562,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,1671,253
443,Code 777,1670,1277
25224,Hermagor,1670,1043
1032,B-17: Queen of the Skies,1666,1156
38194,Cheaty Mages!,1666,1992
46807,Infinite City,1664,2241
9341,Lost Valley,1662,1192
26997,1989: Dawn of Freedom,1660,343
41863,Axis & Allies: 1942,1660,1232
98315,The Adventurers: The Pyramid of Horus,1660,1222
6050,Duel of Ages Set 1: Worldspanner,1657,1600
164265,Witness,1653,636
29972,El Capitán,1649,1148
403,Elk Fest,1645,2380
45134,Arcana,1645,2455
23730,Gheos,1644,1576
127997,Qin,1642,1191
148261,SeaFall,1640,1370
4040,Tri-Ominos,1638,14177
5867,10 Days in Europe,1638,1507
883,Ivanhoe,1633,1558
31920,Munchkin Booty,1630,2355
38863,Hab & Gut,1623,914
380,Polarity,1621,1875
12004,Candamir: The First Settlers,1621,2536
32666,Wealth of Nations,1621,1053
185589,Islebound,1618,648
6424,Pick Up Sticks,1615,14324
139771,Star Trek: Attack Wing,1613,838
144041,Patchistory,1613,717
144797,Argent: The Consortium,1613,435
691,Timbuktu,1610,1331
25674,Khronos,1608,1850
38506,Witch of Salem,1607,1445
191189,Aeon's End,1607,347
19948,Rum & Pirates,1605,1802
3072,Necromunda,1604,800
333,Waterworks,1600,13300
148943,Coup: Rebellion G54,1598,841
32484,The Battle for Hill 218,1597,1399
37358,Founding Fathers,1597,935
174570,Legendary Encounters: A Predator Deck Building Game,1596,523
55253,Atlantis,1593,1614
1915,Middle-earth,1591,877
157,Eurorails,1590,990
1197,Blink,1590,3365
7316,Bingo,1590,14341
24509,Ruse & Bruise,1589,1858
37907,Diamonds Club,1589,895
1563,Rise and Decline of the Third Reich,1586,1356
180680,Automobiles,1586,612
23451,Space Dealer,1585,1523
75165,De Vulgari Eloquentia,1583,728
76674,String Railway,1578,1788
170561,Valeria: Card Kingdoms,1575,610
69779,Polis: Fight for the Hegemony,1572,465
135219,The Battle of Five Armies,1570,354
146130,Coin Age,1567,2528
22287,Buccaneer,1566,2042
60131,Ugg-Tect,1566,2016
159473,Quartermaster General,1561,630
655,Castle,1560,2639
67877,Anomia,1560,1487
195421,Near and Far,1560,260
143405,Sylvion,1558,754
164338,The Golden Ages,1558,699
21641,Aquädukt,1557,1791
182189,Treasure Hunter,1557,1219
96713,Deadwood,1554,1804
140863,Council of Verona,1554,1813
24762,Medici vs Strozzi,1552,1629
18098,Napoleon's Triumph,1551,336
112373,BraveRats,1550,1658
150997,Shadows of Brimstone: Swamps of Death,1549,368
161866,Zombicide Season 3: Rue Morgue,1546,553
86246,Drum Roll,1544,1003
3181,Farkle,1543,13382
3421,StreetSoccer,1541,1580
129090,Roll For It!,1539,2519
193621,Joking Hazard,1539,1645
589,Wiz-War,1538,1208
805,Buffy the Vampire Slayer: The Game,1538,1536
2393,Xiangqi,1538,941
137649,Level 7 [Omega Protocol],1538,575
29839,Key Harvest,1537,1205
60579,Poo: The Card Game,1537,6303
79073,Resident Evil Deck Building Game,1535,1841
141423,Dead Men Tell No Tales,1534,883
7804,Dracula,1533,2304
136280,La Boca,1533,980
179172,Unfair,1532,696
1038,Tantrix,1530,2017
175,Raj,1529,1772
1472,Five Crowns,1527,4133
20134,The End of the Triumvirate,1527,1193
125921,Catan: Junior,1519,1402
156091,Sons of Anarchy: Men of Mayhem,1518,710
30367,Perry Rhodan: The Cosmic League,1517,1218
63759,Seeland,1517,1055
85036,20th Century,1517,1078
147116,The Witcher Adventure Game,1515,1929
36811,The Princes of Machu Picchu,1514,1000
151247,Greed,1510,1288
1298,Monopoly: Star Wars,1509,14287
1536,Lord of the Fries,1505,3368
58,Kings & Things,1504,1667
73,Show Manager,1504,975
103649,The City,1504,1592
38545,Kamisado,1503,1024
146418,Warhammer: Diskwars,1501,870
14,Basari,1500,1265
103686,Mundus Novus,1499,1364
1887,Legend of the Five Rings,1498,971
178054,A Study in Emerald (second edition),1497,959
40214,Bombay,1496,1951
827,Attila,1494,1718
20022,Terra Nova,1490,1848
1923,MindTrap,1489,14299
177678,Signorie,1489,585
111799,Cuba Libre,1486,456
19,Wacky Wacky West,1485,2085
287,Bazaar,1485,1700
18745,Sun Tzu,1484,982
8946,Coda,1483,2735
19301,Mesopotamia,1478,1623
9829,Runebound (First Edition),1477,2758
40381,Masters Gallery,1477,1529
117960,Saint Malo,1472,1740
144239,Impulse,1472,1096
201921,Tiny Epic Quest,1472,660
4488,Scarab Lords,1471,2843
176083,Hit Z Road,1469,1227
1107,Nyet!,1466,1199
129351,The Cave,1466,1583
71906,Castaways,1465,949
172381,My Village,1461,917
177590,13 Days: The Cuban Missile Crisis,1460,563
123499,City of Iron,1455,753
5336,Talisman (third edition),1454,2332
814,Aquarius,1452,3300
3141,The Bucket King,1452,2013
38765,Ground Floor,1451,909
71021,Evolution: The Origin of Species,1451,2117
123219,OddVille,1451,1174
176165,Dale of Merchants,1451,789
200680,Agricola (revised edition),1451,269
531,Merchants of Amsterdam,1449,1388
2238,PanzerBlitz,1449,1937
132018,Churchill,1449,493
140717,Progress: Evolution of Technology,1449,1532
153,Take 5!,1447,1886
33468,Zombie in my Pocket,1446,2263
1690,Unexploded Cow,1444,2936
38548,Fast Flowing Forest Fellers,1442,1656
66214,Samarkand: Routes to Riches,1442,1146
111148,Würfel Bohnanza,1442,1462
117942,Zooloretto: The Dice Game,1439,1762
65282,Tanto Cuore,1438,1289
94480,Pantheon,1437,1238
144826,Zombie 15',1436,1114
44,David & Goliath,1434,1784
147253,The Ancient World,1434,871
2476,Industrial Waste,1433,1338
6263,King's Breakfast,1429,2431
17027,Sitting Ducks Gallery,1428,2887
158243,Dragon Slayer,1428,6365
195544,Tides of Madness,1428,992
244,Circus Maximus,1427,1477
11229,Star Wars Miniatures,1427,1390
20080,Aqua Romana,1427,2041
123607,Puzzle Strike (Third Edition),1427,784
5781,"Edel, Stein & Reich",1426,1117
10934,Things...,1426,2985
203420,Exit: The Game – The Abandoned Cabin,1425,446
166226,The Staufer Dynasty,1424,816
69120,Cadwallon: City of Thieves,1422,2184
144189,Fire in the Lake,1420,357
194626,Happy Salmon,1420,1109
63543,Horus Heresy (2010),1418,1008
165986,Royals,1416,832
66424,Dungeon Run,1414,2312
89910,"Run, Fight, or Die!",1414,1082
152237,Pairs,1414,1928
169,En Garde,1413,1760
111,Rheinländer,1410,1561
1155,Capitol,1410,1255
4862,Outburst!,1410,4741
115105,Kittens in a Blender,1408,4905
13301,Caribbean,1407,2366
1822,Wilderness War,1406,527
30618,Eat Poop You Cat,1406,639
71882,Conquest of Planet Earth: The Space Alien Game,1406,1149
420,Rail Baron,1405,1800
568,Rage,1405,2543
3565,Mordheim: City of the Damned,1403,948
20806,Three-Dragon Ante,1403,1913
163413,Murano,1403,781
6779,The Ark of the Covenant,1401,1083
43152,Assyria,1400,1177
181345,Dr. Eureka,1400,1314
144529,Theseus: The Dark Orbit,1399,920
80006,Mord im Arosa,1398,1572
137330,Cube Quest,1398,1216
7480,Sword of Rome,1397,766
54307,Chronicle,1397,1281
154509,Kingsport Festival,1396,1280
130,Iron Dragon,1395,1189
22348,Duplik,1392,1102
193042,Junk Art,1392,605
19764,PÜNCT,1389,1251
140519,Myth,1389,1650
167513,Barony,1388,994
192860,Oceanos,1388,1033
47055,High Frontier,1386,719
6366,Dungeons & Dragons: The Fantasy Adventure Board Game,1385,1997
35505,Walk the Plank!,1383,1571
66588,Wits & Wagers Family,1382,1100
154086,Gold West,1380,665
28723,Before the Wind,1379,1476
29308,Beowulf: The Movie Board Game,1379,2022
40425,Maori,1377,1553
357,Excape,1373,2130
2639,Panzer Leader,1371,1815
34373,Tiki Topple,1369,1900
1597,Streetcar,1368,1832
152470,Fief: France 1429,1368,736
41833,Creationary,1364,3295
53093,Heroes of Normandie,1363,670
95234,Cthulhu Gloom,1363,1975
22278,12 Thieves,1361,1897
207691,Railroad Revolution,1361,646
28025,Wicked Witches Way,1360,1916
38823,Conflict of Heroes: Storms of Steel! – Kursk 1943,1360,526
111105,Agents of SMERSH,1356,998
3720,Subbuteo,1355,1186
21754,Nottingham,1355,2202
158435,Dogs of War,1353,647
27463,Galactic Emperor,1352,1516
191876,Ulm,1351,887
444,Midnight Party,1350,1926
27048,Duel in the Dark,1350,1567
67888,Lords of Scotland,1348,1334
33107,Senji,1345,1731
1501,Masterpiece,1343,11517
58936,Wars of the Roses: Lancaster vs. York,1343,774
148203,Dutch Blitz,1342,1818
135779,A Fake Artist Goes to New York,1341,934
29109,Dust,1340,1859
113636,Edo,1340,958
2266,Gobblet,1337,1710
40770,The Golden City,1337,1526
3972,Catan: Portable Edition,1334,1373
79131,Star Trek: Expeditions,1331,1842
118536,Police Precinct,1329,1105
15045,Risk: Star Wars – The Clone Wars Edition,1328,3464
11634,Mexican Train,1326,10177
181524,Masmorra: Dungeons of Arcadia,1326,965
89409,BattleCON: War of Indines,1324,510
180040,Villages of Valeria,1320,936
110,Auf Achse,1319,2336
1899,13 Dead End Drive,1319,5123
19947,Ark,1319,2191
31133,Ice Flow,1318,1905
141932,The Agents,1318,2027
61692,Axis & Allies Europe 1940,1316,804
83629,The Hobbit,1316,3063
178570,Unusual Suspects,1316,1610
3236,WildLife,1313,1485
133632,Mythotopia,1313,1163
222,Space Beans,1312,2776
31483,Constantinopolis,1312,1197
75476,Inca Empire,1311,993
92044,Dungeons & Dragons: Conquest of Nerath Board Game,1311,1242
98085,Seven Dragons,1310,2423
105593,Cheating Moth,1309,1814
30241,Patrician,1308,1601
171879,Kraftwagen,1306,771
15033,Australia,1305,1769
21464,California,1304,2280
200954,Fields of Green,1304,797
73316,Magnum Sal,1301,1075
118695,Riff Raff,1301,1132
29581,Tomb,1300,2159
118418,Divinare,1299,1395
135649,Tales & Games: The Three Little Pigs,1299,1748
59,Giganten,1297,1374
3522,LCR,1296,14339
85250,The Dwarf King,1295,1725
12681,Neuland,1294,1741
71074,Expedition: Northwest Passage,1294,1031
176544,Automania,1293,731
138233,Ascension: Rise of Vigil,1292,929
4864,Scene It? Movie,1291,12189
96613,Alcatraz: The Scapegoat,1291,1993
191300,Archaeology: The New Expedition,1291,891
41569,The Great Fire of London 1666,1290,1773
3267,Pizarro & Co.,1284,1678
117,Ta Yü,1283,1152
58110,Horse Fever,1283,1113
9,El Caballero,1282,1811
91080,Andean Abyss,1282,675
137095,The Witches: A Discworld Game,1282,3000
75,Falling,1278,12462
235,Blackbeard,1278,2204
80771,Dungeon Raiders,1277,1606
104955,Antike Duellum,1277,940
15953,Wings of War: Burning Drachens,1275,1039
139899,VivaJava: The Coffee Game: The Dice Game,1275,1294
11231,Snorta!,1273,2945
95105,1st & Goal,1273,1570
154182,Helios,1273,1258
156546,Monikers,1271,557
1484,Clue: The Great Museum Caper,1270,1538
40444,Livingstone,1270,1966
2603,The Lord of the Rings Trading Card Game,1269,1417
28181,Combat Commander: Pacific,1268,377
9675,La Strada,1266,2481
91984,Québec,1266,945
24037,Escape from Atlantis,1265,1752
550,Barbarossa,1263,2081
1297,Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition,1263,12086
15600,Kreta,1263,1237
310,Wizard's Quest,1262,2748
119391,Il Vecchio,1262,1153
165722,KLASK,1261,622
3154,Nautilus,1259,2053
122294,Ascension: Immortal Heroes,1257,767
153097,Heroes Wanted,1255,1335
108,TAMSK,1253,1408
200,Entdecker,1253,1854
153999,"...and then, we held hands.",1252,2179
5072,Carrom,1248,1135
41066,Virgin Queen,1247,420
145203,Prosperity,1247,1409
9408,Dos Rios,1245,1898
153507,Terra,1245,1266
35488,The Name of the Rose,1243,1436
27385,Alchemist,1242,2313
40832,Keltis: Das Kartenspiel,1241,1459
2750,Imaginiff,1238,11332
8222,Spank the Monkey,1238,3806
40508,Scrabble Slam!,1238,14233
132028,Conflict of Heroes: Awakening the Bear! (second edition),1238,430
140535,Koryŏ,1236,1421
348,Merchants of the Middle Ages,1234,1393
27940,RattleSnake,1234,3763
25234,Catan Histories: Struggle for Rome,1233,1892
158340,Lost Legacy: Flying Garden,1232,1397
3452,Emerald,1231,2063
2557,Castle Risk,1228,13803
73070,Olympus,1227,1262
138431,Galaxy Defenders,1227,782
122842,Exodus: Proxima Centauri,1226,938
129050,P.I.,1225,1443
229,King of the Elves,1224,2458
847,Feudal,1224,3537
87890,Prêt-à-Porter,1224,924
157001,Trains: Rising Sun,1224,658
32165,Darjeeling,1222,1738
160902,Dungeons & Dragons Dice Masters: Battle for Faerûn,1222,759
2961,Confusion:  Espionage and Deception in the Cold War,1221,996
2808,The Russian Campaign,1220,988
40831,The Pillars of the Earth: Builders Duel,1220,1688
134157,Guilds of London,1220,1097
27,Supremacy,1216,12614
6205,Europe Engulfed,1216,795
142852,DC Comics Deck-Building Game: Heroes Unite,1216,902
24304,Unspeakable Words,1215,2374
1315,Africa,1209,3191
300,Tutankhamen,1208,2800
37734,Cavum,1206,1454
12632,Goldbräu,1204,1988
130882,Cardline: Animals,1204,1687
198525,Lotus,1204,1302
141,Andromeda,1203,2066
142325,Kobayakawa,1203,2089
2290,Ghosts!,1202,2106
76150,Revolver,1202,1268
175293,Trambahn,1199,1091
73863,Grimoire,1197,1944
175640,Vinhos Deluxe Edition,1196,283
293,Bamboleo,1194,2092
22532,Wings of War: The Dawn of World War II,1192,1369
121423,Skyline,1191,3180
55829,Axis & Allies Pacific 1940,1190,960
167270,Medina (second edition),1190,851
3139,Goldland,1189,1552
4610,Lord of the Rings: The Duel,1189,3676
19989,Robber Knights,1189,2727
96260,Dominant Species: The Card Game,1188,3010
1419,Pylos,1187,2364
168788,Rum & Bones,1186,1022
37696,The Stars Are Right,1184,2315
131014,Carcassonne: Winter Edition,1184,755
1552,Illuminati: New World Order,1183,2213
38984,Mow,1183,2599
143157,SOS Titanic,1183,1565
1499,World in Flames,1181,860
36648,Pyramid,1181,1276
197831,Dark Souls: The Board Game,1181,1594
162823,El Gaucho,1180,1325
96007,The New Era,1178,701
39242,Black Friday,1176,1715
19995,Canal Mania,1175,1267
21892,Augsburg 1520,1175,1906
67180,Tikal II: The Lost Temple,1175,1293
833,For the People,1174,666
6281,Eketorp,1174,2131
29456,Infernal Contraption,1173,3868
123239,Wits & Wagers Party,1173,1340
153016,Telestrations: 12 Player Party Pack,1173,568
195162,Plague Inc.: The Board Game,1173,899
433,Shark,1171,1641
10816,Blackjack,1171,14304
124380,Ladies & Gentlemen,1171,1766
146221,Forge War,1171,848
963,The Gardens of the Alhambra,1168,2754
1768,Fireball Island,1168,2250
2288,Blood Bowl (Second Edition),1168,1512
164812,Roll For It! Deluxe Edition,1168,1723
21287,Bison: Thunder on the Prairie,1163,2115
111732,Kings of Air and Steam,1162,1225
176361,One Night Revolution,1162,2427
3655,The Settlers of Canaan,1161,1790
8166,Anno 1503,1160,2323
2065,Shogi,1158,1038
5534,Light Speed,1158,2165
19427,Gemblo,1157,1401
932,Top Race,1156,1468
1265,Mystery Rummy: Jekyll & Hyde,1156,1699
1589,Star Fleet Battles,1156,1584
65673,Masques,1156,1846
173442,Empires: Age of Discovery,1156,475
386,Pirateer,1154,13415
165401,Wir sind das Volk!,1151,529
8207,Dungeoneer: Vault of the Fiends,1150,2388
8522,Ninja Burger,1149,9594
104581,Panic on Wall Street!,1148,1207
154634,Yardmaster,1146,2023
10496,Camelot Legends,1145,3065
205610,A Game of Thrones: Hand of the King,1145,1349
84159,Junta: Viva el Presidente!,1144,2054
163640,Eminent Domain: Microcosm,1144,1720
9202,Saga,1143,4482
128554,Völuspá,1141,1598
93538,Battleship Galaxies,1140,1724
136056,Asante,1139,1221
138649,DC Comics Dice Masters: Justice League,1138,735
19348,Byzantium,1136,1384
127127,The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,1136,1478
168274,Mistfall,1136,1412
12346,Spooky Stairs,1135,2026
187377,Vikings Gone Wild,1135,905
175878,504,1133,1863
164,"Before I Kill You, Mister Spy...",1132,13778
169611,Love Letter: The Hobbit – The Battle of the Five Armies,1132,1085
19419,Euphrates & Tigris: Contest of Kings,1131,3026
24157,Order of the Stick Adventure Game: The Dungeon of Dorukan,1131,4820
205158,Codenames: Deep Undercover,1131,1469
137031,Ancient Terrible Things,1130,1318
8668,Igloo Pop,1129,2379
42898,Pocket Battles: Celts vs. Romans,1129,2007
15157,Amazonas,1128,2244
154259,Province,1127,2095
